"Regulating Agency","County Served","PWS","PWS Name","Facility ID","Facility Name","Sample Date","Received Date","Analyte Abbreviation","Analyte Name","Result (ng/L)","MRL (ng/L)","Sample ID"
"REGION 1","Yamhill","00811","SHERIDAN, CITY OF","EP-A","EP FOR SOUTH YAMHILL RIVER","02/09/2022","03/28/2022","PFHpS","Perfluoroheptanesulfonic acid","ND","11.0","2202060-01"
"REGION 1","Yamhill","00811","SHERIDAN, CITY OF","EP-A","EP FOR SOUTH YAMHILL RIVER","02/09/2022","03/28/2022","PFHxA","Perfluorohexanoic acid","ND","11.0","2202060-01"
"REGION 1","Yamhill","00811","SHERIDAN, CITY OF","EP-A","EP FOR SOUTH YAMHILL RIVER","02/09/2022","03/28/2022","PFHxS","Perfluorohexanesulfonic acid","ND","11.0","2202060-01"
"REGION 1","Yamhill","00811","SHERIDAN, CITY OF","EP-A","EP FOR SOUTH YAMHILL RIVER","02/09/2022","03/28/2022","PFMBA","Perfluoro-4-methoxybutanoic acid","ND","21.9","2202060-01"
"REGION 1","Yamhill","00811","SHERIDAN, CITY OF","EP-A","EP FOR SOUTH YAMHILL RIVER","02/09/2022","03/28/2022","PFMPA","Perfluoro-3-methoxypropanoic acid","ND","43.8","2202060-01"
"REGION 1","Yamhill","00811","SHERIDAN, CITY OF","EP-A","EP FOR SOUTH YAMHILL RIVER","02/09/2022","03/28/2022","PFNA","Perfluorononanoic acid","ND","11.0","2202060-01"
"REGION 1","Yamhill","00811","SHERIDAN, CITY OF","EP-A","EP FOR SOUTH YAMHILL RIVER","02/09/2022","03/28/2022","PFOA","Perfluorooctanoic acid","ND","11.0","2202060-01"
"REGION 1","Yamhill","00811","SHERIDAN, CITY OF","EP-A","EP FOR SOUTH YAMHILL RIVER","02/09/2022","03/28/2022","PFOS","Perfluorooctanesulfonic acid","ND","11.0","2202060-01"
"REGION 1","Yamhill","00811","SHERIDAN, CITY OF","EP-A","EP FOR SOUTH YAMHILL RIVER","02/09/2022","03/28/2022","PFPeA","Perfluoropentanoic acid","ND","110","2202060-01"
"REGION 1","Yamhill","00811","SHERIDAN, CITY OF","EP-A","EP FOR SOUTH YAMHILL RIVER","02/09/2022","03/28/2022","PFPeS","Perfluoropentanesulfonic acid","ND","11.0","2202060-01"
"REGION 1","Yamhill","00811","SHERIDAN, CITY OF","EP-A","EP FOR SOUTH YAMHILL RIVER","02/09/2022","03/28/2022","PFUnA","Perfluoroundecanoic acid","ND","11.0","2202060-01"
"CLACKAMAS COUNTY","Clackamas","00140","BARLOW TRAIL ESTATES","EP-A","EP FOR WELLS","02/01/2022","03/28/2022","11Cl-PF3OUdS","11-Chloroeicosafluoro-3-oxaundecane-1-sulfonic acid","ND","10.9","2202014-01"
"CLACKAMAS COUNTY","Clackamas","00140","BARLOW TRAIL ESTATES","EP-A","EP FOR WELLS","02/01/2022","03/28/2022","4:2FTS","1H,1H, 2H, 2H-Perfluorohexane sulfonic acid","ND","10.9","2202014-01"
"CLACKAMAS COUNTY","Clackamas","00140","BARLOW TRAIL ESTATES","EP-A","EP FOR WELLS","02/01/2022","03/28/2022","6:2FTS","1H,1H, 2H, 2H-Perfluorooctane sulfonic acid","ND","10.9","2202014-01"
"CLACKAMAS COUNTY","Clackamas","00140","BARLOW TRAIL ESTATES","EP-A","EP FOR WELLS","02/01/2022","03/28/2022","8:2FTS","1H,1H, 2H, 2H-Perfluorodecane sulfonic acid","ND","10.9","2202014-01"
"CLACKAMAS COUNTY","Clackamas","00140","BARLOW TRAIL ESTATES","EP-A","EP FOR WELLS","02/01/2022","03/28/2022","9Cl-PF3ONS","9-Chlorohexadecafluoro-3-oxanonane-1-sulfonic acd","ND","10.9","2202014-01"
"CLACKAMAS COUNTY","Clackamas","00140","BARLOW TRAIL ESTATES","EP-A","EP FOR WELLS","02/01/2022","03/28/2022","ADONA","4,8-Dioxa-3H-perfluorononanoic acid","ND","10.9","2202014-01"
"CLACKAMAS COUNTY","Clackamas","00140","BARLOW TRAIL ESTATES","EP-A","EP FOR WELLS","02/01/2022","03/28/2022","HFPO-DA","Hexafluoropropylene oxide dimer acid","ND","109","2202014-01"
"CLACKAMAS COUNTY","Clackamas","00140","BARLOW TRAIL ESTATES","EP-A","EP FOR WELLS","02/01/2022","03/28/2022","PFBA","Perfluorobutanoic acid","ND","10.9","2202014-01"
"CLACKAMAS COUNTY","Clackamas","00140","BARLOW TRAIL ESTATES","EP-A","EP FOR WELLS","02/01/2022","03/28/2022","PFBS","Perfluorobutanesulfonic acid","ND","43.5","2202014-01"
"CLACKAMAS COUNTY","Clackamas","00140","BARLOW TRAIL ESTATES","EP-A","EP FOR WELLS","02/01/2022","03/28/2022","PFDA","Perfluorodecanoic acid","ND","10.9","2202014-01"
"CLACKAMAS COUNTY","Clackamas","00140","BARLOW TRAIL ESTATES","EP-A","EP FOR WELLS","02/01/2022","03/28/2022","PFDoA","Perfluorododecanoic acid","ND","10.9","2202014-01"
"CLACKAMAS COUNTY","Clackamas","00140","BARLOW TRAIL ESTATES","EP-A","EP FOR WELLS","02/01/2022","03/28/2022","PFEESA","Perfluoro(2-ethoxyethane)sulfonic acid","ND","10.9","2202014-01"
"CLACKAMAS COUNTY","Clackamas","00140","BARLOW TRAIL ESTATES","EP-A","EP FOR WELLS","02/01/2022","03/28/2022","PFHpA","Perfluoroheptanoic acid","ND","10.9","2202014-01"
"CLACKAMAS COUNTY","Clackamas","00140","BARLOW TRAIL ESTATES","EP-A","EP FOR WELLS","02/01/2022","03/28/2022","PFHpS","Perfluoroheptanesulfonic acid","ND","10.9","2202014-01"
"CLACKAMAS COUNTY","Clackamas","00140","BARLOW TRAIL ESTATES","EP-A","EP FOR WELLS","02/01/2022","03/28/2022","PFHxA","Perfluorohexanoic acid","ND","10.9","2202014-01"
"CLACKAMAS COUNTY","Clackamas","00140","BARLOW TRAIL ESTATES","EP-A","EP FOR WELLS","02/01/2022","03/28/2022","PFHxS","Perfluorohexanesulfonic acid","ND","10.9","2202014-01"
"CLACKAMAS COUNTY","Clackamas","00140","BARLOW TRAIL ESTATES","EP-A","EP FOR WELLS","02/01/2022","03/28/2022","PFMBA","Perfluoro-4-methoxybutanoic acid","ND","21.8","2202014-01"
"CLACKAMAS COUNTY","Clackamas","00140","BARLOW TRAIL ESTATES","EP-A","EP FOR WELLS","02/01/2022","03/28/2022","PFMPA","Perfluoro-3-methoxypropanoic acid","ND","43.5","2202014-01"
"CLACKAMAS COUNTY","Clackamas","00140","BARLOW TRAIL ESTATES","EP-A","EP FOR WELLS","02/01/2022","03/28/2022","PFNA","Perfluorononanoic acid","ND","10.9","2202014-01"
"CLACKAMAS COUNTY","Clackamas","00140","BARLOW TRAIL ESTATES","EP-A","EP FOR WELLS","02/01/2022","03/28/2022","PFOA","Perfluorooctanoic acid","ND","10.9","2202014-01"
"CLACKAMAS COUNTY","Clackamas","00140","BARLOW TRAIL ESTATES","EP-A","EP FOR WELLS","02/01/2022","03/28/2022","PFOS","Perfluorooctanesulfonic acid","ND","10.9","2202014-01"
"CLACKAMAS COUNTY","Clackamas","00140","BARLOW TRAIL ESTATES","EP-A","EP FOR WELLS","02/01/2022","03/28/2022","PFPeA","Perfluoropentanoic acid","ND","109","2202014-01"
"CLACKAMAS COUNTY","Clackamas","00140","BARLOW TRAIL ESTATES","EP-A","EP FOR WELLS","02/01/2022","03/28/2022","PFPeS","Perfluoropentanesulfonic acid","ND","10.9","2202014-01"
"CLACKAMAS COUNTY","Clackamas","00140","BARLOW TRAIL ESTATES","EP-A","EP FOR WELLS","02/01/2022","03/28/2022","PFUnA","Perfluoroundecanoic acid","ND","10.9","2202014-01"
"DESCHUTES COUNTY","Deschutes","00086","BLACK BUTTE RANCH CORPORATION","EP-A","EP FOR WELL #1","02/01/2022","03/28/2022","11Cl-PF3OUdS","11-Chloroeicosafluoro-3-oxaundecane-1-sulfonic acid","ND","10.1","2202022-01"
"DESCHUTES COUNTY","Deschutes","00086","BLACK BUTTE RANCH CORPORATION","EP-A","EP FOR WELL #1","02/01/2022","03/28/2022","4:2FTS","1H,1H, 2H, 2H-Perfluorohexane sulfonic acid","ND","10.1","2202022-01"
"DESCHUTES COUNTY","Deschutes","00086","BLACK BUTTE RANCH CORPORATION","EP-A","EP FOR WELL #1","02/01/2022","03/28/2022","6:2FTS","1H,1H, 2H, 2H-Perfluorooctane sulfonic acid","ND","10.1","2202022-01"
"DESCHUTES COUNTY","Deschutes","00086","BLACK BUTTE RANCH CORPORATION","EP-A","EP FOR WELL #1","02/01/2022","03/28/2022","8:2FTS","1H,1H, 2H, 2H-Perfluorodecane sulfonic acid","ND","10.1","2202022-01"
"DESCHUTES COUNTY","Deschutes","00086","BLACK BUTTE RANCH CORPORATION","EP-A","EP FOR WELL #1","02/01/2022","03/28/2022","9Cl-PF3ONS","9-Chlorohexadecafluoro-3-oxanonane-1-sulfonic acd","ND","10.1","2202022-01"
"DESCHUTES COUNTY","Deschutes","00086","BLACK BUTTE RANCH CORPORATION","EP-A","EP FOR WELL #1","02/01/2022","03/28/2022","ADONA","4,8-Dioxa-3H-perfluorononanoic acid","ND","10.1","2202022-01"
"DESCHUTES COUNTY","Deschutes","00086","BLACK BUTTE RANCH CORPORATION","EP-A","EP FOR WELL #1","02/01/2022","03/28/2022","HFPO-DA","Hexafluoropropylene oxide dimer acid","ND","101","2202022-01"
"DESCHUTES COUNTY","Deschutes","00086","BLACK BUTTE RANCH CORPORATION","EP-A","EP FOR WELL #1","02/01/2022","03/28/2022","PFBA","Perfluorobutanoic acid","ND","10.1","2202022-01"
"DESCHUTES COUNTY","Deschutes","00086","BLACK BUTTE RANCH CORPORATION","EP-A","EP FOR WELL #1","02/01/2022","03/28/2022","PFBS","Perfluorobutanesulfonic acid","ND","40.3","2202022-01"
"DESCHUTES COUNTY","Deschutes","00086","BLACK BUTTE RANCH CORPORATION","EP-A","EP FOR WELL #1","02/01/2022","03/28/2022","PFDA","Perfluorodecanoic acid","ND","10.1","2202022-01"
"DESCHUTES COUNTY","Deschutes","00086","BLACK BUTTE RANCH CORPORATION","EP-A","EP FOR WELL #1","02/01/2022","03/28/2022","PFDoA","Perfluorododecanoic acid","ND","10.1","2202022-01"
"DESCHUTES COUNTY","Deschutes","00086","BLACK BUTTE RANCH CORPORATION","EP-A","EP FOR WELL #1","02/01/2022","03/28/2022","PFEESA","Perfluoro(2-ethoxyethane)sulfonic acid","ND","10.1","2202022-01"
"DESCHUTES COUNTY","Deschutes","00086","BLACK BUTTE RANCH CORPORATION","EP-A","EP FOR WELL #1","02/01/2022","03/28/2022","PFHpA","Perfluoroheptanoic acid","ND","10.1","2202022-01"
"DESCHUTES COUNTY","Deschutes","00086","BLACK BUTTE RANCH CORPORATION","EP-A","EP FOR WELL #1","02/01/2022","03/28/2022","PFHpS","Perfluoroheptanesulfonic acid","ND","10.1","2202022-01"
"DESCHUTES COUNTY","Deschutes","00086","BLACK BUTTE RANCH CORPORATION","EP-A","EP FOR WELL #1","02/01/2022","03/28/2022","PFHxA","Perfluorohexanoic acid","ND","10.1","2202022-01"
"DESCHUTES COUNTY","Deschutes","00086","BLACK BUTTE RANCH CORPORATION","EP-A","EP FOR WELL #1","02/01/2022","03/28/2022","PFHxS","Perfluorohexanesulfonic acid","ND","10.1","2202022-01"
"DESCHUTES COUNTY","Deschutes","00086","BLACK BUTTE RANCH CORPORATION","EP-A","EP FOR WELL #1","02/01/2022","03/28/2022","PFMBA","Perfluoro-4-methoxybutanoic acid","ND","20.2","2202022-01"
"DESCHUTES COUNTY","Deschutes","00086","BLACK BUTTE RANCH CORPORATION","EP-A","EP FOR WELL #1","02/01/2022","03/28/2022","PFMPA","Perfluoro-3-methoxypropanoic acid","ND","40.3","2202022-01"
"DESCHUTES COUNTY","Deschutes","00086","BLACK BUTTE RANCH CORPORATION","EP-A","EP FOR WELL #1","02/01/2022","03/28/2022","PFNA","Perfluorononanoic acid","ND","10.1","2202022-01"
"DESCHUTES COUNTY","Deschutes","00086","BLACK BUTTE RANCH CORPORATION","EP-A","EP FOR WELL #1","02/01/2022","03/28/2022","PFOA","Perfluorooctanoic acid","ND","10.1","2202022-01"
"DESCHUTES COUNTY","Deschutes","00086","BLACK BUTTE RANCH CORPORATION","EP-A","EP FOR WELL #1","02/01/2022","03/28/2022","PFOS","Perfluorooctanesulfonic acid","ND","10.1","2202022-01"
"DESCHUTES COUNTY","Deschutes","00086","BLACK BUTTE RANCH CORPORATION","EP-A","EP FOR WELL #1","02/01/2022","03/28/2022","PFPeA","Perfluoropentanoic acid","ND","101","2202022-01"
"DESCHUTES COUNTY","Deschutes","00086","BLACK BUTTE RANCH CORPORATION","EP-A","EP FOR WELL #1","02/01/2022","03/28/2022","PFPeS","Perfluoropentanesulfonic acid","ND","10.1","2202022-01"
"DESCHUTES COUNTY","Deschutes","00086","BLACK BUTTE RANCH CORPORATION","EP-A","EP FOR WELL #1","02/01/2022","03/28/2022","PFUnA","Perfluoroundecanoic acid","ND","10.1","2202022-01"
"DESCHUTES COUNTY","Deschutes","00086","BLACK BUTTE RANCH CORPORATION","EP-D","EP FOR WELL #4","02/01/2022","03/28/2022","11Cl-PF3OUdS","11-Chloroeicosafluoro-3-oxaundecane-1-sulfonic acid","ND","10.5","2202022-03"
"DESCHUTES COUNTY","Deschutes","00086","BLACK BUTTE RANCH CORPORATION","EP-D","EP FOR WELL #4","02/01/2022","03/28/2022","4:2FTS","1H,1H, 2H, 2H-Perfluorohexane sulfonic acid","ND","10.5","2202022-03"
"DESCHUTES COUNTY","Deschutes","00086","BLACK BUTTE RANCH CORPORATION","EP-D","EP FOR WELL #4","02/01/2022","03/28/2022","6:2FTS","1H,1H, 2H, 2H-Perfluorooctane sulfonic acid","ND","10.5","2202022-03"
"DESCHUTES COUNTY","Deschutes","00086","BLACK BUTTE RANCH CORPORATION","EP-D","EP FOR WELL #4","02/01/2022","03/28/2022","8:2FTS","1H,1H, 2H, 2H-Perfluorodecane sulfonic acid","ND","10.5","2202022-03"
"DESCHUTES COUNTY","Deschutes","00086","BLACK BUTTE RANCH CORPORATION","EP-D","EP FOR WELL #4","02/01/2022","03/28/2022","9Cl-PF3ONS","9-Chlorohexadecafluoro-3-oxanonane-1-sulfonic acd","ND","10.5","2202022-03"
"DESCHUTES COUNTY","Deschutes","00086","BLACK BUTTE RANCH CORPORATION","EP-D","EP FOR WELL #4","02/01/2022","03/28/2022","ADONA","4,8-Dioxa-3H-perfluorononanoic acid","ND","10.5","2202022-03"
"DESCHUTES COUNTY","Deschutes","00086","BLACK BUTTE RANCH CORPORATION","EP-D","EP FOR WELL #4","02/01/2022","03/28/2022","HFPO-DA","Hexafluoropropylene oxide dimer acid","ND","105","2202022-03"
"DESCHUTES COUNTY","Deschutes","00086","BLACK BUTTE RANCH CORPORATION","EP-D","EP FOR WELL #4","02/01/2022","03/28/2022","PFBA","Perfluorobutanoic acid","ND","10.5","2202022-03"
"DESCHUTES COUNTY","Deschutes","00086","BLACK BUTTE RANCH CORPORATION","EP-D","EP FOR WELL #4","02/01/2022","03/28/2022","PFBS","Perfluorobutanesulfonic acid","ND","42.0","2202022-03"
"DESCHUTES COUNTY","Deschutes","00086","BLACK BUTTE RANCH CORPORATION","EP-D","EP FOR WELL #4","02/01/2022","03/28/2022","PFDA","Perfluorodecanoic acid","ND","10.5","2202022-03"
"DESCHUTES COUNTY","Deschutes","00086","BLACK BUTTE RANCH CORPORATION","EP-D","EP FOR WELL #4","02/01/2022","03/28/2022","PFDoA","Perfluorododecanoic acid","ND","10.5","2202022-03"
"DESCHUTES COUNTY","Deschutes","00086","BLACK BUTTE RANCH CORPORATION","EP-D","EP FOR WELL #4","02/01/2022","03/28/2022","PFEESA","Perfluoro(2-ethoxyethane)sulfonic acid","ND","10.5","2202022-03"
"DESCHUTES COUNTY","Deschutes","00086","BLACK BUTTE RANCH CORPORATION","EP-D","EP FOR WELL #4","02/01/2022","03/28/2022","PFHpA","Perfluoroheptanoic acid","ND","10.5","2202022-03"
"DESCHUTES COUNTY","Deschutes","00086","BLACK BUTTE RANCH CORPORATION","EP-D","EP FOR WELL #4","02/01/2022","03/28/2022","PFHpS","Perfluoroheptanesulfonic acid","ND","10.5","2202022-03"
"DESCHUTES COUNTY","Deschutes","00086","BLACK BUTTE RANCH CORPORATION","EP-D","EP FOR WELL #4","02/01/2022","03/28/2022","PFHxA","Perfluorohexanoic acid","ND","10.5","2202022-03"
"DESCHUTES COUNTY","Deschutes","00086","BLACK BUTTE RANCH CORPORATION","EP-D","EP FOR WELL #4","02/01/2022","03/28/2022","PFHxS","Perfluorohexanesulfonic acid","ND","10.5","2202022-03"
"DESCHUTES COUNTY","Deschutes","00086","BLACK BUTTE RANCH CORPORATION","EP-D","EP FOR WELL #4","02/01/2022","03/28/2022","PFMBA","Perfluoro-4-methoxybutanoic acid","ND","21.0","2202022-03"
"DESCHUTES COUNTY","Deschutes","00086","BLACK BUTTE RANCH CORPORATION","EP-D","EP FOR WELL #4","02/01/2022","03/28/2022","PFMPA","Perfluoro-3-methoxypropanoic acid","ND","42.0","2202022-03"
"DESCHUTES COUNTY","Deschutes","00086","BLACK BUTTE RANCH CORPORATION","EP-D","EP FOR WELL #4","02/01/2022","03/28/2022","PFNA","Perfluorononanoic acid","ND","10.5","2202022-03"
"DESCHUTES COUNTY","Deschutes","00086","BLACK BUTTE RANCH CORPORATION","EP-D","EP FOR WELL #4","02/01/2022","03/28/2022","PFOA","Perfluorooctanoic acid","ND","10.5","2202022-03"
"DESCHUTES COUNTY","Deschutes","00086","BLACK BUTTE RANCH CORPORATION","EP-D","EP FOR WELL #4","02/01/2022","03/28/2022","PFOS","Perfluorooctanesulfonic acid","ND","10.5","2202022-03"
"DESCHUTES COUNTY","Deschutes","00086","BLACK BUTTE RANCH CORPORATION","EP-D","EP FOR WELL #4","02/01/2022","03/28/2022","PFPeA","Perfluoropentanoic acid","ND","105","2202022-03"
"DESCHUTES COUNTY","Deschutes","00086","BLACK BUTTE RANCH CORPORATION","EP-D","EP FOR WELL #4","02/01/2022","03/28/2022","PFPeS","Perfluoropentanesulfonic acid","ND","10.5","2202022-03"
"DESCHUTES COUNTY","Deschutes","00086","BLACK BUTTE RANCH CORPORATION","EP-D","EP FOR WELL #4","02/01/2022","03/28/2022","PFUnA","Perfluoroundecanoic acid","ND","10.5","2202022-03"
"KLAMATH COUNTY","Klamath","00320","GILCHRIST WATER SYSTEM LLC","EP-A","EP FOR WELL #2","02/01/2022","03/28/2022","11Cl-PF3OUdS","11-Chloroeicosafluoro-3-oxaundecane-1-sulfonic acid","ND","10.5","2202021-01"
"KLAMATH COUNTY","Klamath","00320","GILCHRIST WATER SYSTEM LLC","EP-A","EP FOR WELL #2","02/01/2022","03/28/2022","4:2FTS","1H,1H, 2H, 2H-Perfluorohexane sulfonic acid","ND","10.5","2202021-01"
"KLAMATH COUNTY","Klamath","00320","GILCHRIST WATER SYSTEM LLC","EP-A","EP FOR WELL #2","02/01/2022","03/28/2022","6:2FTS","1H,1H, 2H, 2H-Perfluorooctane sulfonic acid","ND","10.5","2202021-01"
"KLAMATH COUNTY","Klamath","00320","GILCHRIST WATER SYSTEM LLC","EP-A","EP FOR WELL #2","02/01/2022","03/28/2022","8:2FTS","1H,1H, 2H, 2H-Perfluorodecane sulfonic acid","ND","10.5","2202021-01"
"KLAMATH COUNTY","Klamath","00320","GILCHRIST WATER SYSTEM LLC","EP-A","EP FOR WELL #2","02/01/2022","03/28/2022","9Cl-PF3ONS","9-Chlorohexadecafluoro-3-oxanonane-1-sulfonic acd","ND","10.5","2202021-01"
"KLAMATH COUNTY","Klamath","00320","GILCHRIST WATER SYSTEM LLC","EP-A","EP FOR WELL #2","02/01/2022","03/28/2022","ADONA","4,8-Dioxa-3H-perfluorononanoic acid","ND","10.5","2202021-01"
"KLAMATH COUNTY","Klamath","00320","GILCHRIST WATER SYSTEM LLC","EP-A","EP FOR WELL #2","02/01/2022","03/28/2022","HFPO-DA","Hexafluoropropylene oxide dimer acid","ND","105","2202021-01"
"KLAMATH COUNTY","Klamath","00320","GILCHRIST WATER SYSTEM LLC","EP-A","EP FOR WELL #2","02/01/2022","03/28/2022","PFBA","Perfluorobutanoic acid","ND","10.5","2202021-01"
"KLAMATH COUNTY","Klamath","00320","GILCHRIST WATER SYSTEM LLC","EP-A","EP FOR WELL #2","02/01/2022","03/28/2022","PFBS","Perfluorobutanesulfonic acid","ND","41.8","2202021-01"
"KLAMATH COUNTY","Klamath","00320","GILCHRIST WATER SYSTEM LLC","EP-A","EP FOR WELL #2","02/01/2022","03/28/2022","PFDA","Perfluorodecanoic acid","ND","10.5","2202021-01"
"KLAMATH COUNTY","Klamath","00320","GILCHRIST WATER SYSTEM LLC","EP-A","EP FOR WELL #2","02/01/2022","03/28/2022","PFDoA","Perfluorododecanoic acid","ND","10.5","2202021-01"
"KLAMATH COUNTY","Klamath","00320","GILCHRIST WATER SYSTEM LLC","EP-A","EP FOR WELL #2","02/01/2022","03/28/2022","PFEESA","Perfluoro(2-ethoxyethane)sulfonic acid","ND","10.5","2202021-01"
"KLAMATH COUNTY","Klamath","00320","GILCHRIST WATER SYSTEM LLC","EP-A","EP FOR WELL #2","02/01/2022","03/28/2022","PFHpA","Perfluoroheptanoic acid","ND","10.5","2202021-01"
"KLAMATH COUNTY","Klamath","00320","GILCHRIST WATER SYSTEM LLC","EP-A","EP FOR WELL #2","02/01/2022","03/28/2022","PFHpS","Perfluoroheptanesulfonic acid","ND","10.5","2202021-01"
"KLAMATH COUNTY","Klamath","00320","GILCHRIST WATER SYSTEM LLC","EP-A","EP FOR WELL #2","02/01/2022","03/28/2022","PFHxA","Perfluorohexanoic acid","ND","10.5","2202021-01"
"KLAMATH COUNTY","Klamath","00320","GILCHRIST WATER SYSTEM LLC","EP-A","EP FOR WELL #2","02/01/2022","03/28/2022","PFHxS","Perfluorohexanesulfonic acid","ND","10.5","2202021-01"
"KLAMATH COUNTY","Klamath","00320","GILCHRIST WATER SYSTEM LLC","EP-A","EP FOR WELL #2","02/01/2022","03/28/2022","PFMBA","Perfluoro-4-methoxybutanoic acid","ND","20.9","2202021-01"
"KLAMATH COUNTY","Klamath","00320","GILCHRIST WATER SYSTEM LLC","EP-A","EP FOR WELL #2","02/01/2022","03/28/2022","PFMPA","Perfluoro-3-methoxypropanoic acid","ND","41.8","2202021-01"
"KLAMATH COUNTY","Klamath","00320","GILCHRIST WATER SYSTEM LLC","EP-A","EP FOR WELL #2","02/01/2022","03/28/2022","PFNA","Perfluorononanoic acid","ND","10.5","2202021-01"
"KLAMATH COUNTY","Klamath","00320","GILCHRIST WATER SYSTEM LLC","EP-A","EP FOR WELL #2","02/01/2022","03/28/2022","PFOA","Perfluorooctanoic acid","ND","10.5","2202021-01"
"KLAMATH COUNTY","Klamath","00320","GILCHRIST WATER SYSTEM LLC","EP-A","EP FOR WELL #2","02/01/2022","03/28/2022","PFOS","Perfluorooctanesulfonic acid","ND","10.5","2202021-01"
"KLAMATH COUNTY","Klamath","00320","GILCHRIST WATER SYSTEM LLC","EP-A","EP FOR WELL #2","02/01/2022","03/28/2022","PFPeA","Perfluoropentanoic acid","ND","105","2202021-01"
"KLAMATH COUNTY","Klamath","00320","GILCHRIST WATER SYSTEM LLC","EP-A","EP FOR WELL #2","02/01/2022","03/28/2022","PFPeS","Perfluoropentanesulfonic acid","ND","10.5","2202021-01"
"KLAMATH COUNTY","Klamath","00320","GILCHRIST WATER SYSTEM LLC","EP-A","EP FOR WELL #2","02/01/2022","03/28/2022","PFUnA","Perfluoroundecanoic acid","ND","10.5","2202021-01"
"KLAMATH COUNTY","Klamath","00320","GILCHRIST WATER SYSTEM LLC","EP-B","EP FOR WELL #3","02/01/2022","03/28/2022","11Cl-PF3OUdS","11-Chloroeicosafluoro-3-oxaundecane-1-sulfonic acid","ND","10.3","2202021-03"
"KLAMATH COUNTY","Klamath","00320","GILCHRIST WATER SYSTEM LLC","EP-B","EP FOR WELL #3","02/01/2022","03/28/2022","4:2FTS","1H,1H, 2H, 2H-Perfluorohexane sulfonic acid","ND","10.3","2202021-03"
"KLAMATH COUNTY","Klamath","00320","GILCHRIST WATER SYSTEM LLC","EP-B","EP FOR WELL #3","02/01/2022","03/28/2022","6:2FTS","1H,1H, 2H, 2H-Perfluorooctane sulfonic acid","ND","10.3","2202021-03"
"KLAMATH COUNTY","Klamath","00320","GILCHRIST WATER SYSTEM LLC","EP-B","EP FOR WELL #3","02/01/2022","03/28/2022","8:2FTS","1H,1H, 2H, 2H-Perfluorodecane sulfonic acid","ND","10.3","2202021-03"
"KLAMATH COUNTY","Klamath","00320","GILCHRIST WATER SYSTEM LLC","EP-B","EP FOR WELL #3","02/01/2022","03/28/2022","9Cl-PF3ONS","9-Chlorohexadecafluoro-3-oxanonane-1-sulfonic acd","ND","10.3","2202021-03"
"KLAMATH COUNTY","Klamath","00320","GILCHRIST WATER SYSTEM LLC","EP-B","EP FOR WELL #3","02/01/2022","03/28/2022","ADONA","4,8-Dioxa-3H-perfluorononanoic acid","ND","10.3","2202021-03"
"KLAMATH COUNTY","Klamath","00320","GILCHRIST WATER SYSTEM LLC","EP-B","EP FOR WELL #3","02/01/2022","03/28/2022","HFPO-DA","Hexafluoropropylene oxide dimer acid","ND","103","2202021-03"
"KLAMATH COUNTY","Klamath","00320","GILCHRIST WATER SYSTEM LLC","EP-B","EP FOR WELL #3","02/01/2022","03/28/2022","PFBA","Perfluorobutanoic acid","ND","10.3","2202021-03"
"KLAMATH COUNTY","Klamath","00320","GILCHRIST WATER SYSTEM LLC","EP-B","EP FOR WELL #3","02/01/2022","03/28/2022","PFBS","Perfluorobutanesulfonic acid","ND","41.0","2202021-03"
"KLAMATH COUNTY","Klamath","00320","GILCHRIST WATER SYSTEM LLC","EP-B","EP FOR WELL #3","02/01/2022","03/28/2022","PFDA","Perfluorodecanoic acid","ND","10.3","2202021-03"
"KLAMATH COUNTY","Klamath","00320","GILCHRIST WATER SYSTEM LLC","EP-B","EP FOR WELL #3","02/01/2022","03/28/2022","PFDoA","Perfluorododecanoic acid","ND","10.3","2202021-03"
"KLAMATH COUNTY","Klamath","00320","GILCHRIST WATER SYSTEM LLC","EP-B","EP FOR WELL #3","02/01/2022","03/28/2022","PFEESA","Perfluoro(2-ethoxyethane)sulfonic acid","ND","10.3","2202021-03"
"KLAMATH COUNTY","Klamath","00320","GILCHRIST WATER SYSTEM LLC","EP-B","EP FOR WELL #3","02/01/2022","03/28/2022","PFHpA","Perfluoroheptanoic acid","ND","10.3","2202021-03"
"KLAMATH COUNTY","Klamath","00320","GILCHRIST WATER SYSTEM LLC","EP-B","EP FOR WELL #3","02/01/2022","03/28/2022","PFHpS","Perfluoroheptanesulfonic acid","ND","10.3","2202021-03"
"KLAMATH COUNTY","Klamath","00320","GILCHRIST WATER SYSTEM LLC","EP-B","EP FOR WELL #3","02/01/2022","03/28/2022","PFHxA","Perfluorohexanoic acid","ND","10.3","2202021-03"
"KLAMATH COUNTY","Klamath","00320","GILCHRIST WATER SYSTEM LLC","EP-B","EP FOR WELL #3","02/01/2022","03/28/2022","PFHxS","Perfluorohexanesulfonic acid","ND","10.3","2202021-03"
"KLAMATH COUNTY","Klamath","00320","GILCHRIST WATER SYSTEM LLC","EP-B","EP FOR WELL #3","02/01/2022","03/28/2022","PFMBA","Perfluoro-4-methoxybutanoic acid","ND","20.5","2202021-03"
"KLAMATH COUNTY","Klamath","00320","GILCHRIST WATER SYSTEM LLC","EP-B","EP FOR WELL #3","02/01/2022","03/28/2022","PFMPA","Perfluoro-3-methoxypropanoic acid","ND","41.0","2202021-03"
